Tarih,Ders,Süre (dk),Not,XP
22/02,tyt türkçe,53.0,paragraf çözüldü 15 soru+ prgrf konu,0.0
22/02,tyt mat problem,90.0,2 test problem 24 soru,
22/02,tyt geo ikizkenar eşkenar,90.0,test hariç,
22/02,tyt sosyal branş,20.0,biri 9dk biri 12 dakika,
23/02,tyt türkçe paragraf,85.0,15 soru + 2 konu,
23/02,tyt mat problem,150.0,problem 3 test,
,,,,
