Tarih/Gün,07.00-10.00,10:30-12:30,13:30-15:30,16:00-18:00,20:00-22:00,⏱️ Toplam Saat,Günün Notu
23.02 Pazartesi,,,,,,,
24.02 Salı,,,,,,,
25.02 Çarşamba,,,,,,,
26.02 Perşembe,,,,,,,
27.02 Cuma,,,,,,,
28.02 Cumartesi,,,,,,,
01.03 Pazar,,,,,,,
02.03 Pazartesi,,,,,,,
03.03 Salı,,,,,,,
04.03 Çarşamba,,,,,,,
05.03 Perşembe,,,,,,,
06.03 Cuma,,,,,,,
07.03 Cumartesi,,,,,,,
08.03 Pazar,,,,,,,
